GeneID,GSM2436514,GSM2436515,GSM2436516,GSM2436517,GSM2436518,GSM2436519,GSM2436520,GSM2436521,GSM2436522,GSM2436523
23467,86,86,100,46,17,73,62,30,30,59
23466,114,251,140,53,63,145,77,48,121,171
105373032,0,0,0,0,2,0,0,1,1,0
200315,26,2,3,0,2,4,2,20,8,8
105373033,0,0,0,0,0,1,0,0,0,1
107985562,0,0,0,0,0,0,0,0,0,2
9582,21,2,6,8,11,6,8,11,15,14
100874530,5,0,0,1,1,0,1,2,2,2
27350,71,34,41,20,21,39,46,34,109,132
200316,90,45,105,50,95,71,73,37,109,111
140564,40,33,53,26,56,27,30,33,64,58
107985563,0,0,0,0,0,1,1,0,0,0
60489,97,115,244,101,124,132,102,71,233,144
101927202,0,0,0,0,0,0,1,0,0,0
164668,0,0,3,2,0,0,1,0,0,0
23492,248,485,271,161,255,346,236,142,282,449
5155,283,218,249,177,240,276,200,178,401,266
6122,14462,18257,35511,9734,19281,17384,14886,9710,29210,17232
116938,2,11,5,4,5,5,5,28,1,4
116937,0,2,1,1,1,0,0,0,0,0
116936,28,12,11,7,15,13,11,6,8,9
26807,6,3,0,2,2,3,1,4,0,2
9145,123,145,81,44,36,81,107,90,184,202
10454,35,195,75,36,49,58,54,116,60,53
100506472,10,31,11,23,9,13,9,30,5,10
4248,35,19,36,33,4,9,24,55,9,5
104502417,2,0,1,6,4,0,5,9,0,2
54471,195,347,341,167,395,326,219,129,352,345
105373035,3,33,7,5,2,7,5,16,6,5
468,5265,8685,8088,4383,7216,6788,6166,8449,8135,5546
91582,602,897,1421,467,796,694,519,915,1160,567
8911,1,0,0,0,0,0,0,0,0,0
150350,0,0,0,0,0,0,0,0,1,0
9402,0,0,0,0,4,2,1,2,6,0
113828,88,2,3,0,0,40,29,25,35,105
114841040,12,2,1,0,0,1,2,2,3,2
23112,769,1637,1003,974,830,1161,997,1036,387,1083
158,520,632,720,300,422,458,416,103,826,477
27352,654,1250,694,470,734,715,500,450,767,582
107985538,4,2,0,3,1,1,2,5,0,3
57591,133,217,180,110,147,130,112,164,89,81
101927257,0,36,14,18,12,22,21,14,2,8
105373037,0,3,4,18,3,4,5,7,0,4
105373038,6,1,1,4,2,0,2,10,1,4
2847,5,2,4,1,2,1,4,1,1,5
10478,283,314,506,213,395,265,360,220,680,415
100616283,0,3,1,0,0,0,1,2,0,0
6767,1945,1951,2662,1270,1988,1693,1796,1348,2379,2431
63929,139,196,201,131,159,184,206,92,162,264
150353,11,40,7,5,9,7,15,7,10,14
9978,1034,1123,2469,779,1371,1121,1410,802,2940,1424
106635682,297,219,352,136,202,172,124,210,178,153
100302237,3,9,7,6,2,6,3,4,1,2
2033,566,1672,931,837,1142,1247,1176,798,525,1096
101927279,14,12,9,1,6,5,7,6,9,11
83746,195,419,268,157,239,223,222,117,274,200
100506544,25,67,57,22,47,28,35,21,44,32
150356,14,14,14,5,11,19,31,14,21,28
5905,393,561,485,395,501,479,402,295,459,456
102466758,0,0,0,0,0,0,0,0,0,0
23264,38,159,132,74,94,118,92,57,85,121
7008,236,411,45,33,107,237,177,87,433,436
100996598,0,0,0,1,0,2,1,2,0,1
105373042,0,0,1,1,1,5,1,4,1,1
10766,1555,1156,807,562,845,1301,1026,667,1024,1221
105373043,10,10,0,3,3,4,5,4,5,2
84844,279,200,165,73,129,171,204,166,254,205
50,858,1383,976,575,884,956,706,243,992,874
171568,324,525,387,205,328,368,260,119,434,347
105373044,0,0,0,0,0,0,0,0,0,0
27254,0,0,0,0,0,0,0,0,0,1
